Year,Month,Month_Number,Quarter,FFB_1000MT,EFB_1000MT,PKS_1000MT,POME_1000MT,Mesocarp_Fibre_1000MT,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Wind_Speed_ms,Solar_Radiation_Wm2
1964,Jan,1,Q1,26.85,5.907,1.611,17.453,3.491,27.27,45.84,82.2,2,187.66
1964,Feb,2,Q1,32.22,7.088,1.933,20.943,4.189,28.28,67.6,81.26,2.11,192.43
1964,Mar,3,Q1,53.7,11.814,3.222,34.905,6.981,28.26,154.1,84.2,2.2,181.76
1964,Apr,4,Q2,69.81,15.358,4.189,45.377,9.075,28.22,221.79,87.13,2.09,167.18
1964,May,5,Q2,75.18,16.54,4.511,48.867,9.773,27.24,308.64,88.19,2,157.86
1964,Jun,6,Q2,64.44,14.177,3.866,41.886,8.377,26.24,362.56,90.14,1.89,147.34
1964,Jul,7,Q3,53.7,11.814,3.222,34.905,6.981,25.24,385.39,91.2,1.8,139.94
1964,Aug,8,Q3,48.33,10.633,2.9,31.415,6.283,25.23,297.57,91.16,1.69,141.43
1964,Sep,9,Q3,37.59,8.27,2.255,24.434,4.887,25.27,365.41,90.22,1.8,150
1964,Oct,10,Q4,32.22,7.088,1.933,20.943,4.189,26.3,309.74,89.29,1.91,160.64
1964,Nov,11,Q4,21.48,4.726,1.289,13.962,2.792,27.29,144.59,85.24,2,178.08
1964,Dec,12,Q4,21.48,4.726,1.289,13.962,2.792,27.29,42.13,82.3,2.01,185.82
1965,Jan,1,Q1,25.85,5.687,1.551,16.803,3.361,27.27,45.84,82.2,2,187.66
1965,Feb,2,Q1,31.02,6.824,1.861,20.163,4.033,28.28,67.6,81.26,2.11,192.43
1965,Mar,3,Q1,51.7,11.374,3.102,33.605,6.721,28.26,154.1,84.2,2.2,181.76
1965,Apr,4,Q2,67.21,14.786,4.033,43.687,8.737,28.22,221.79,87.13,2.09,167.18
1965,May,5,Q2,72.38,15.924,4.343,47.047,9.409,27.24,308.64,88.19,2,157.86
1965,Jun,6,Q2,62.04,13.649,3.722,40.326,8.065,26.24,362.56,90.14,1.89,147.34
1965,Jul,7,Q3,51.7,11.374,3.102,33.605,6.721,25.24,385.39,91.2,1.8,139.94
1965,Aug,8,Q3,46.53,10.237,2.792,30.245,6.049,25.23,297.57,91.16,1.69,141.43
1965,Sep,9,Q3,36.19,7.962,2.171,23.524,4.705,25.27,365.41,90.22,1.8,150
1965,Oct,10,Q4,31.02,6.824,1.861,20.163,4.033,26.3,309.74,89.29,1.91,160.64
1965,Nov,11,Q4,20.68,4.55,1.241,13.442,2.688,27.29,144.59,85.24,2,178.08
1965,Dec,12,Q4,20.68,4.55,1.241,13.442,2.688,27.29,42.13,82.3,2.01,185.82
1966,Jan,1,Q1,16.5,3.63,0.99,10.725,2.145,27.27,45.84,82.2,2,187.66
1966,Feb,2,Q1,19.8,4.356,1.188,12.87,2.574,28.28,67.6,81.26,2.11,192.43
1966,Mar,3,Q1,33,7.26,1.98,21.45,4.29,28.26,154.1,84.2,2.2,181.76
1966,Apr,4,Q2,42.9,9.438,2.574,27.885,5.577,28.22,221.79,87.13,2.09,167.18
